City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
441,marataizes,BR,65.19,-21.04,-40.82,Ed. Barra Shopping
442,ramgarh,IN,86.0,23.63,85.52,Rajesh Tea Shop
443,port keats,AU,85.28,-14.25,129.55,TDC Village (Hundred Man Camp)
444,westport,US,71.6,41.14,-73.36,The Westport Inn
446,kilifi,KE,77.0,-3.63,39.85,Baobab Sea Lodge-Kilifi
449,kainantu,PG,64.54,-6.29,145.87,Nasuke GUEST House
450,birao,CF,82.31,10.28,22.79,
452,sioux falls,US,66.0,43.55,-96.7,Holiday Inn Sioux Falls-City Centre
453,mehran,IR,93.2,33.12,46.16,زائرسرای نور
455,linqiong,CN,98.01,30.42,103.46,Tianlun Tanxianglou Hotel
457,northam,GB,71.01,51.03,-4.22,Durrant House Hotel
458,chapada dos guimaraes,BR,77.0,-15.46,-55.75,Pousada Morro Dos Ventos
460,hargeysa,SO,81.81,9.56,44.06,Imperial Hotel
461,shache,CN,89.2,38.42,77.24,Delong Hotel
462,santa isabel do rio negro,BR,72.41,-0.41,-65.02,Hotel GSA
463,beloha,MG,76.66,-25.17,45.05,
464,abha,SA,78.8,18.22,42.51,Abha Hotel
465,mpanda,TZ,79.03,-6.37,31.04,CH Hotel - Mpanda
467,taitung,TW,89.6,22.76,121.14,Taitung Bali Suites Hotel
468,komsomolskiy,UZ,87.8,40.43,71.72,Ikathouse
470,yunhe,CN,86.2,34.08,119.72,Subei Hotel
473,aquiraz,BR,77.0,-3.9,-38.39,Pousada Rua Camurupim
474,talara,PE,64.83,-4.58,-81.27,Hostal Oro Negro
477,gamba,GA,76.05,-2.65,10.0,
478,ilhabela,BR,70.12,-23.78,-45.36,Ilha Flat Hotel
479,sabzevar,IR,95.07,36.21,57.68,پارکینگ وسایل سنگین جنوب
480,ust-nera,RU,76.89,64.57,143.2,Hotel Ust-Nera
481,sudova vyshnya,UA,69.8,49.79,23.37,Mirage
482,wanning,CN,88.2,18.8,110.4,Paradise Hotel
483,ottappalam,IN,86.0,10.77,76.38,Builda Park inn
485,newala,TZ,76.93,-10.94,39.28,Country Lodge
486,berlin,DE,72.0,52.52,13.41,Citystay Hostel Berlin
487,aojiang,CN,86.68,22.94,116.04,Binjiang Hotel
490,mildura,AU,60.8,-34.2,142.15,Mercure Hotel Mildura
492,jati,PK,101.46,24.35,68.27,
493,petauke,ZM,68.85,-14.24,31.33,Newline Lodge
495,tommot,RU,76.1,58.96,126.29,Gostinitsa Tommot
496,gondanglegi,ID,81.95,-7.75,112.01,Gg. Munasir Homestay
497,san angelo,US,73.99,31.46,-100.44,"Motel 6 San Angelo, TX"
498,songea,TZ,64.4,-10.68,35.65,mtakuja
501,pouebo,NC,69.1,-20.4,164.57,
502,seoul,KR,75.2,37.57,126.98,LOTTE HOTEL SEOUL
503,tarui,JP,80.01,35.37,136.53,Inoshishi-tei (Kiriyama-sou)
504,birjand,IR,89.6,32.87,59.22,Birjand Tourist Hotel
505,phuket,TH,82.4,8.0,98.25,The Surin Phuket
506,kaya,BF,87.15,13.09,-1.08,Maison de l'appelé
507,caravelas,BR,68.34,-17.71,-39.25,Pousada dos Navegantes
508,mbandaka,CD,83.52,0.05,18.26,Guest House Epervier
510,morros,BR,68.7,-9.45,-46.3,
511,sembe,CG,76.41,1.65,14.58,
512,saint-francois,FR,75.2,46.42,3.91,Manoir Du Bonheur
513,jacareacanga,BR,73.85,-6.22,-57.75,Casa do Ian😎
514,ekibastuz,KZ,80.31,51.67,75.37,
515,bitung,ID,84.2,1.45,125.18,Peoplesight Learning Center ( PLC )
518,presque isle,US,64.4,46.68,-68.02,Hampton Inn Presque Isle
520,luanda,AO,75.2,-8.84,13.23,EPIC SANA Luanda
521,izumo,JP,73.4,35.37,132.77,Toyoko-Inn Izumoshi ekimae
522,esperance,AU,62.6,-33.87,121.9,Hospitality Esperance
525,santa maria del oro,MX,69.12,25.93,-105.37,Hotel Palacio Del Sol
526,basavana bagevadi,IN,89.78,16.58,75.97,Jagajyothi Basaveshwar Yatri Nivas
527,fallon,US,73.4,39.47,-118.78,Best Western Fallon Inn & Suites
529,nortelandia,BR,67.91,-14.45,-56.8,Hotel Karysmã
530,hovd,MN,79.65,48.01,91.64,Hotel Khovd
532,carutapera,BR,74.35,-1.2,-46.02,Lidera
533,erenhot,CN,77.45,43.65,111.98,Erenhot Rurouni Youth Hostel
534,guiyang,CN,86.0,26.58,106.72,Guo Tai Hotel Guiyang
535,valle hermoso,MX,80.6,25.67,-97.83,MAQUINARIA Y TRANSPORTE DE CARGA
537,basarabeasca,MD,73.4,46.33,28.97,sadaclia
538,touros,BR,71.6,-5.2,-35.46,INN NEW HORIZON
540,manicore,BR,73.4,-5.81,-61.3,Pousada da wanda
541,ipixuna,BR,75.2,-1.76,-48.8,Casa da Oscarina
543,santa barbara,US,61.0,34.42,-119.7,Kimpton Canary Hotel
