City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,Dunedin,-45.87,170.5,42.01,84,94,7.0,NZ,2020-06-23 07:34:26
244,Hoquiam,46.98,-123.89,57.99,71,1,1.77,US,2020-06-23 07:37:30
245,El Alto,-4.27,-81.21,64.98,82,0,12.48,PE,2020-06-23 07:37:31
246,Cumbitara,1.65,-77.58,58.62,100,65,1.01,CO,2020-06-23 07:37:31
247,Tananger,58.93,5.6,60.8,72,75,5.82,NO,2020-06-23 07:37:31
248,Marugame,34.28,133.78,86.0,37,20,6.93,JP,2020-06-23 07:37:31
249,Yulara,-25.24,130.99,66.2,24,0,6.93,AU,2020-06-23 07:35:02
250,Ellisras,-23.66,27.74,63.25,45,0,4.32,ZA,2020-06-23 07:37:32
251,Grand Gaube,-20.01,57.66,77.0,65,0,11.01,MU,2020-06-23 07:37:32
252,Khani,41.96,42.96,89.6,35,0,18.34,GE,2020-06-23 07:35:50
253,Karratha,-20.74,116.85,80.91,29,0,10.54,AU,2020-06-23 07:34:29
254,Comodoro Rivadavia,-45.87,-67.5,44.6,52,0,14.99,AR,2020-06-23 07:34:02
255,Linhares,-19.39,-40.07,61.81,95,0,1.83,BR,2020-06-23 07:37:33
256,Motema,8.6,-11.03,71.85,97,36,1.12,SL,2020-06-23 07:37:33
257,Tasiilaq,65.61,-37.64,46.4,61,99,13.87,GL,2020-06-23 07:34:19
258,Jijiga,9.35,42.8,74.34,59,52,17.34,ET,2020-06-23 07:37:33
259,Williams Lake,52.14,-122.14,62.6,59,75,8.05,CA,2020-06-23 07:37:13
260,Zhangye,38.93,100.45,87.44,13,10,7.85,CN,2020-06-23 07:37:34
261,Ouro Preto Do Oeste,-10.75,-62.22,69.22,92,98,2.28,BR,2020-06-23 07:37:34
262,Carnarvon,-24.87,113.63,73.4,49,0,13.87,AU,2020-06-23 07:34:13
263,Governador Dix-Sept Rosado,-5.46,-37.52,72.64,75,56,5.41,BR,2020-06-23 07:37:34
264,Sorong,-0.88,131.25,83.64,77,59,5.23,ID,2020-06-23 07:37:34
265,New Norfolk,-42.78,147.06,54.0,91,100,3.0,AU,2020-06-23 07:36:00
266,Sawakin,19.11,37.33,102.33,15,1,12.8,SD,2020-06-23 07:37:35
267,Robore,-18.33,-59.75,68.86,67,99,5.66,BO,2020-06-23 07:37:35
268,High Prairie,55.43,-116.49,57.13,73,84,4.12,CA,2020-06-23 07:32:52
269,Klaksvik,62.23,-6.59,50.0,93,16,16.11,FO,2020-06-23 07:36:00
270,Mezhdurechensk,53.69,88.06,80.76,37,0,3.74,RU,2020-06-23 07:37:35
271,Labuan,5.28,115.24,87.8,74,75,5.82,MY,2020-06-23 07:37:36
272,Deputatskiy,69.3,139.9,78.35,42,2,6.67,RU,2020-06-23 07:35:25
273,Goderich,43.75,-81.72,66.99,83,88,11.18,CA,2020-06-23 07:31:05
274,Shebalino,51.29,85.68,77.56,33,0,3.98,RU,2020-06-23 07:37:37
275,Walvis Bay,-22.96,14.51,71.6,21,0,19.46,NA,2020-06-23 07:35:35
276,Melendugno,40.27,18.34,77.0,69,40,17.22,IT,2020-06-23 07:37:37
277,Portland,45.52,-122.68,72.0,64,1,5.21,US,2020-06-23 07:32:02
278,Havre,49.58,0.33,66.2,59,46,9.17,FR,2020-06-23 07:37:37
279,Palu,-0.89,119.87,84.04,71,69,2.71,ID,2020-06-23 07:37:38
280,Belgrade,44.8,20.47,68.0,77,75,13.87,RS,2020-06-23 07:36:06
281,Mettur,11.8,77.8,91.4,52,75,8.05,IN,2020-06-23 07:37:38
